P_central,Radius_km,Mass_Msun
5.81947e-07,17.2724,0.240561
5.87766e-07,17.2698,0.241674
5.93644e-07,17.2671,0.242791
5.9958e-07,17.2645,0.243913
6.05576e-07,17.2623,0.24504
6.11632e-07,17.2596,0.246172
6.17748e-07,17.2569,0.247308
6.23926e-07,17.2542,0.248449
6.30165e-07,17.2514,0.249595
6.36466e-07,17.2565,0.250748
6.42831e-07,17.2538,0.251903
6.49259e-07,17.2515,0.253064
6.55752e-07,17.2491,0.25423
6.6231e-07,17.2464,0.2554
6.68933e-07,17.2437,0.256575
6.75622e-07,17.2409,0.257756
6.82378e-07,17.2381,0.258941
6.89202e-07,17.2354,0.260131
6.96094e-07,17.2326,0.261326
7.03055e-07,17.2297,0.262526
7.10085e-07,17.2271,0.263732
7.17186e-07,17.2242,0.264942
7.24358e-07,17.2214,0.266157
7.31602e-07,17.2268,0.267379
7.38918e-07,17.2241,0.268605
7.46307e-07,17.2213,0.269835
7.5377e-07,17.2184,0.271071
7.61308e-07,17.2156,0.272312
7.68921e-07,17.2128,0.273558
7.7661e-07,17.2099,0.274809
7.84376e-07,17.207,0.276065
7.9222e-07,17.2041,0.277327
8.00142e-07,17.2012,0.278593
8.08144e-07,17.1982,0.279865
8.16225e-07,17.1953,0.281143
8.24387e-07,17.2002,0.282427
8.32631e-07,17.1973,0.283715
8.40957e-07,17.1949,0.285008
8.49367e-07,17.192,0.286306
8.57861e-07,17.189,0.28761
8.66439e-07,17.186,0.288919
8.75104e-07,17.1833,0.290233
8.83855e-07,17.1804,0.291553
8.92693e-07,17.1771,0.292878
9.0162e-07,17.1741,0.294209
9.10636e-07,17.1711,0.295545
9.19743e-07,17.168,0.296886
9.2894e-07,17.1649,0.298233
9.3823e-07,17.1692,0.299587
9.47612e-07,17.1663,0.300945
9.57088e-07,17.1632,0.302309
9.66659e-07,17.1602,0.303678
9.76325e-07,17.1574,0.305052
9.86089e-07,17.1543,0.306432
9.9595e-07,17.1511,0.307818
1.00591e-06,17.148,0.309209
1.01597e-06,17.1449,0.310606
1.02613e-06,17.1417,0.312009
1.03639e-06,17.1386,0.313417
1.04675e-06,17.1354,0.314831
1.05722e-06,17.1328,0.31625
1.06779e-06,17.1296,0.317675
1.07847e-06,17.1334,0.319108
1.08926e-06,17.1304,0.320544
1.10015e-06,17.1273,0.321986
1.11115e-06,17.1241,0.323435
1.12226e-06,17.1209,0.324888
1.13348e-06,17.1177,0.326348
1.14482e-06,17.1145,0.327813
1.15627e-06,17.1112,0.329285
1.16783e-06,17.1079,0.330762
1.17951e-06,17.1047,0.332245
1.1913e-06,17.1011,0.333733
1.20322e-06,17.0977,0.335228
1.21525e-06,17.101,0.33673
1.2274e-06,17.0978,0.338236
1.23967e-06,17.0948,0.339749
1.25207e-06,17.0916,0.341267
1.26459e-06,17.0882,0.342791
1.27724e-06,17.0849,0.344322
1.29001e-06,17.0816,0.345858
1.30291e-06,17.0782,0.3474
1.31594e-06,17.0751,0.348949
1.3291e-06,17.0717,0.350503
1.34239e-06,17.0681,0.352063
1.35581e-06,17.0647,0.35363
1.36937e-06,17.0612,0.355202
1.38307e-06,17.0577,0.356781
1.3969e-06,17.0605,0.358367
1.41086e-06,17.0573,0.359958
1.42497e-06,17.0539,0.361555
1.43922e-06,17.0505,0.363158
1.45362e-06,17.0473,0.364767
1.46815e-06,17.0438,0.366383
1.48283e-06,17.0403,0.368005
1.49766e-06,17.0368,0.369633
1.51264e-06,17.0332,0.371267
1.52776e-06,17.029,0.372907
1.54304e-06,17.0256,0.374554
1.55847e-06,17.022,0.376207
1.57406e-06,17.0183,0.377866
1.5898e-06,17.0205,0.379533
1.6057e-06,17.0172,0.381205
1.62175e-06,17.0136,0.382883
1.63797e-06,17.01,0.384568
1.65435e-06,17.0064,0.386259
1.67089e-06,17.0027,0.387956
1.6876e-06,16.9994,0.38966
1.70448e-06,16.9957,0.39137
1.72152e-06,16.992,0.393086
1.73874e-06,16.9882,0.394809
1.75613e-06,16.9845,0.396539
1.77369e-06,16.9807,0.398275
1.79142e-06,16.9768,0.400017
1.80934e-06,16.973,0.401766
1.82743e-06,16.9695,0.403521
1.84571e-06,16.9713,0.405284
1.86416e-06,16.9675,0.407053
1.8828e-06,16.9637,0.408828
1.90163e-06,16.9599,0.410609
1.92065e-06,16.956,0.412398
1.93986e-06,16.9522,0.414192
1.95925e-06,16.9483,0.415994
1.97885e-06,16.9444,0.417801
1.99864e-06,16.9405,0.419616
2.01862e-06,16.9365,0.421437
2.03881e-06,16.9326,0.423265
2.0592e-06,16.9286,0.425099
2.07979e-06,16.9245,0.42694
2.10059e-06,16.9259,0.428789
2.12159e-06,16.922,0.430644
2.14281e-06,16.9178,0.432505
2.16424e-06,16.914,0.434373
2.18588e-06,16.91,0.436248
2.20774e-06,16.9059,0.438129
2.22981e-06,16.9019,0.440018
2.25211e-06,16.8978,0.441913
2.27463e-06,16.8937,0.443814
